Name,Family_Name
Bora,Boran
Muinane,Boran
Uru,Uru-Chipaya
Chipaya,Uru-Chipaya
Callawalla,Mixed Language
Media Lengua,Mixed Language
Caribbean Javanese,Austronesian
Karajá,Nuclear-Macro-Je
Rikbaktsa,Nuclear-Macro-Je
Ofayé,Nuclear-Macro-Je
Gueren,Nuclear-Macro-Je
Krenak,Nuclear-Macro-Je
Geico,Nuclear-Macro-Je
Panará,Nuclear-Macro-Je
Suyá,Nuclear-Macro-Je
Apinayé,Nuclear-Macro-Je
Kayapó,Nuclear-Macro-Je
Northeastern Timbira,Nuclear-Macro-Je
Pará-Maranhão Gavião,Nuclear-Macro-Je
Canela-Krahô,Nuclear-Macro-Je
Xavánte,Nuclear-Macro-Je
Acroá,Nuclear-Macro-Je
Xerénte,Nuclear-Macro-Je
Xakriabá,Nuclear-Macro-Je
Xokleng,Nuclear-Macro-Je
São Paulo Kaingáng,Nuclear-Macro-Je
Kaingang,Nuclear-Macro-Je
Kimda,Nuclear-Macro-Je
Ingain,Nuclear-Macro-Je
Arikapú,Nuclear-Macro-Je
Djeoromitxí,Nuclear-Macro-Je
Malali,Nuclear-Macro-Je
Pataxó Hã-Ha-Hãe,Nuclear-Macro-Je
Macuni,Nuclear-Macro-Je
Capoxo,Nuclear-Macro-Je
Maxakalí,Nuclear-Macro-Je
Koropó,Nuclear-Macro-Je
Umotína,Bororoan
Otuke,Bororoan
Bororo,Bororoan
Amarakaeri,Harakmbut
Huachipaeri,Harakmbut
Apurinã,Arawakan
Iñapari,Arawakan
Pacaguara-Mercier,Arawakan
Machinere,Arawakan
Yine,Arawakan
Mashco Piro,Arawakan
Terena-Kinikinao-Chane,Arawakan
Apolista,Arawakan
Magiana,Arawakan
Paunaka,Arawakan
Trinitario,Arawakan
Ignaciano,Arawakan
Paiconeca,Arawakan
Joaquiniano,Arawakan
Baure,Arawakan
Nomatsiguenga,Arawakan
Caquinte,Arawakan
Asháninka,Arawakan
Pichis Ashéninka,Arawakan
Ajyíninka Apurucayali,Arawakan
Ucayali-Yurúa Ashéninka,Arawakan
Ashéninka Perené,Arawakan
Ashéninka Pajonal,Arawakan
South Ucayali Ashéninka,Arawakan
Machiguenga,Arawakan
Nanti,Arawakan
Baniva de Maroa,Arawakan
Yavitero,Arawakan
Avane,Arawakan
Maipure,Arawakan
Lokono,Arawakan
Paraujano,Arawakan
Wayuu,Arawakan
Araicu,Arawakan
Maragua,Arawakan
Aruan,Arawakan
Xiriâna,Arawakan
Uirina,Arawakan
Cariay,Arawakan
Manao,Arawakan
Mapidian-Mawayana,Arawakan
Mawakwa,Arawakan
Wapishana,Arawakan
Atorada,Arawakan
Kaishana,Arawakan
Resígaro,Arawakan
Passe,Arawakan
Jumana,Arawakan
Cabiyarí,Arawakan
Tariana,Arawakan
Curripaco,Arawakan
Baniwa do Icana,Arawakan
Guaru,Arawakan
Uainuma-Mariate,Arawakan
Yucuna,Arawakan
Achagua,Arawakan
Piapoco,Arawakan
Mandahuaca,Arawakan
Warekena Velha,Arawakan
Guinau,Arawakan
Anauyá,Arawakan
Yabaâna,Arawakan
Baré,Arawakan
Palikúr,Arawakan
Marawan,Arawakan
Yanesha',Arawakan
Chamicuro,Arawakan
Morike,Arawakan
Parecís,Arawakan
Enawené-Nawé,Arawakan
Saraveca,Arawakan
Yawalapití,Arawakan
Kustenau,Arawakan
Mehináku,Arawakan
Waurá,Arawakan
Macaguán,Guahiboan
Guayabero,Guahiboan
Cuiba,Guahiboan
Guahibo,Guahiboan
Playero,Guahiboan
Aguaruna,Chicham
Shuar,Chicham
Achuar-Shiwiar,Chicham
Huambisa,Chicham
Pidgin Carib,Pidgin
Joeka-Oajana Pidgin,Pidgin
Ndyuka-Trio Pidgin,Pidgin
Panare Trade Spanish,Pidgin
Urubú-Kaapor Sign Language,Sign Language
Sivia Sign Language,Sign Language
South Rupununi Sign,Sign Language
Marajo Sign Language,Sign Language
Maxakali Sign Language,Sign Language
Kajana Sign Language,Sign Language
Providencia Sign Language,Sign Language
Brazilian Sign Language,Sign Language
Argentine Sign Language,Sign Language
Colombian Sign Language,Sign Language
Ecuadorian Sign Language,Sign Language
Bolivian Sign Language,Sign Language
Peruvian Sign Language,Sign Language
Inmaculada Sign Language,Sign Language
Chilean Sign Language,Sign Language
Paraguayan Sign Language,Sign Language
Uruguayan Sign Language,Sign Language
Guyana Sign Language,Sign Language
Venezuelan Sign Language,Sign Language
Coroado-Puri,Puri-Coroado
Puri,Puri-Coroado
Chamacoco,Zamucoan
Zamuco,Zamucoan
Ayoreo,Zamucoan
Kadiwéu,Guaicuruan
Abipon,Guaicuruan
Mocoví,Guaicuruan
Toba,Guaicuruan
Pilagá,Guaicuruan
Yagua,Peba-Yagua
Peba,Peba-Yagua
Yameo,Peba-Yagua
Cauqui,Aymaran
Jaqaru,Aymaran
Central Aymara,Aymaran
Southern Aymara,Aymaran
Chimila,Chibchan
Cogui,Chibchan
Arhuaco,Chibchan
Malayo,Chibchan
Kankuamo,Chibchan
Barí,Chibchan
Western Tunebo,Chibchan
Barro Negro Tunebo,Chibchan
Angosturas Tunebo,Chibchan
Central Tunebo,Chibchan
Chibcha,Chibchan
Duit,Chibchan
San Blas Kuna,Chibchan
Border Kuna,Chibchan
Antioquian,Chibchan
Coeruna,Huitotoan
Andoquero,Huitotoan
Nüpode Huitoto,Huitotoan
Murui Huitoto,Huitotoan
Minica Huitoto,Huitotoan
Ocaina,Huitotoan
Nonuya,Huitotoan
Chincha Quechua,Quechuan
Cajamarca Quechua,Quechuan
Lambayeque Quechua,Quechuan
Classical Quechua,Quechuan
Santiago del Estero Quichua,Quechuan
Ayacucho Quechua,Quechuan
Arequipa-La Unión Quechua,Quechuan
Eastern Apurímac Quechua,Quechuan
Puno Quechua,Quechuan
Cusco Quechua,Quechuan
North Bolivian Quechua,Quechuan
South Bolivian Quechua,Quechuan
Chachapoyas Quechua,Quechuan
San Martín Quechua,Quechuan
Inga,Quechuan
Jungle Inga,Quechuan
Imbabura Highland Quichua,Quechuan
Loja Highland Quichua,Quechuan
Cañar Highland Quichua,Quechuan
Tena Lowland Quichua,Quechuan
Napo Lowland Quechua,Quechuan
Southern Pastaza Quechua,Quechuan
Northern Pastaza Quichua,Quechuan
Calderón Highland Quichua,Quechuan
Chimborazo Highland Quichua,Quechuan
Salasaca Highland Quichua,Quechuan
Pacaraos Quechua,Quechuan
Huangascar-Topara-Yauyos Quechua,Quechuan
Jauja Wanca Quechua,Quechuan
Huaylla Wanca Quechua,Quechuan
Cajatambo North Lima Quechua,Quechuan
Chiquián Ancash Quechua,Quechuan
Huallaga Huánuco Quechua,Quechuan
Panao Huánuco Quechua,Quechuan
Corongo Ancash Quechua,Quechuan
Margos-Yarowilca-Lauricocha Quechua,Quechuan
Sihuas Ancash Quechua,Quechuan
Huaylas Ancash Quechua,Quechuan
Huamalíes-Dos de Mayo Huánuco Quechua,Quechuan
Southern Conchucos Ancash Quechua,Quechuan
Northern Conchucos Ancash Quechua,Quechuan
Yanahuanca Pasco Quechua,Quechuan
Santa Ana de Tusi Pasco Quechua,Quechuan
North Junín Quechua,Quechuan
Ambo-Pasco Quechua,Quechuan
Cavineña,Pano-Tacanan
Mabenaro,Pano-Tacanan
Ese Ejja,Pano-Tacanan
Reyesano,Pano-Tacanan
Tacana,Pano-Tacanan
Araona,Pano-Tacanan
Toromono,Pano-Tacanan
Cashibo-Cacataibo,Pano-Tacanan
Kaxararí,Pano-Tacanan
Cashinawa of the Tarauacá river,Pano-Tacanan
Remo of the Blanco river,Pano-Tacanan
Tuxináwa,Pano-Tacanan
Chácobo,Pano-Tacanan
Pacahuara,Pano-Tacanan
Karipuna,Pano-Tacanan
Chiriva,Pano-Tacanan
Poyanáwa,Pano-Tacanan
Nukuini,Pano-Tacanan
Nawa,Pano-Tacanan
Remo of the Jaquirana river,Pano-Tacanan
Isconahua,Pano-Tacanan
Arazaire,Pano-Tacanan
Atsahuaca,Pano-Tacanan
Marúbo,Pano-Tacanan
Panoan Katukína,Pano-Tacanan
Sensi,Pano-Tacanan
Panobo,Pano-Tacanan
Shipibo-Conibo,Pano-Tacanan
Capanahua,Pano-Tacanan
Amahuaca,Pano-Tacanan
Remo of the Moa river,Pano-Tacanan
Cashinahua,Pano-Tacanan
Sharanahua,Pano-Tacanan
Yaminahua,Pano-Tacanan
Shanenawa,Pano-Tacanan
Yawanawa,Pano-Tacanan
Yora,Pano-Tacanan
Mayoruna-Tabatinga,Pano-Tacanan
Mayoruna-Amazon,Pano-Tacanan
Mayoruna-Jandiatuba,Pano-Tacanan
Matís,Pano-Tacanan
Kulina Pano,Pano-Tacanan
Demushbo,Pano-Tacanan
Korubo,Pano-Tacanan
Matsés,Pano-Tacanan
Juri,Ticuna-Yuri
Ticuna,Ticuna-Yuri
Selk'nam,Chonan
Haush,Chonan
Teushen,Chonan
Tehuelche,Chonan
Güenoa,Charruan
Chaná,Charruan
Charrúa,Charruan
Shawi,Cahuapanan
Jebero,Cahuapanan
Woun Meu,Chocoan
Caramanta,Chocoan
Anserma,Chocoan
Epena,Chocoan
Emberá-Chamí,Chocoan
Emberá-Tadó,Chocoan
Emberá-Catío,Chocoan
Emberá-Baudó,Chocoan
Northern Emberá,Chocoan
Urucucús,Unclassifiable
Uamué,Unclassifiable
Malibu,Unclassifiable
Gamela of Viana,Unclassifiable
Muzo,Unclassifiable
Quillacinga,Unclassifiable
Poya,Unclassifiable
Uru-Pa-In,Unclassifiable
Aracaju,Unclassifiable
Muellamues,Unclassifiable
Kambiwá,Unclassifiable
Guaicaro,Unclassifiable
Kara,Unclassifiable
Copallen,Unclassifiable
Yanacona,Unclassifiable
Pasto,Unclassifiable
Imbabura,Unclassifiable
Chholo,Unclassifiable
Querandi,Unclassifiable
Panzaleo,Unclassifiable
Kapinawá,Unclassifiable
Bagua,Unclassifiable
Puruguay,Unclassifiable
Envuelto,Unclassifiable
Hoxa,Unclassifiable
Sacata,Unclassifiable
Sansimoniano,Unclassifiable
Calchaqui,Unclassifiable
Idabaez,Unclassifiable
Carabayo,Unclassifiable
Tapajó,Unclassifiable
Tarairiu,Unclassifiable
Guachipas,Unclassifiable
Colima,Unclassifiable
Chacha,Unclassifiable
Kaimbé,Unclassifiable
Fayjatases,Unclassifiable
Xoco,Unclassifiable
Tembey,Unclassifiable
Natú,Unclassifiable
Kantarure,Unclassifiable
Karirí-Xocó,Unclassifiable
Pitaguary,Unclassifiable
Pijao,Unclassifiable
Pacahuaras-Castillo,Unclassifiable
Baenan,Unclassifiable
Jenipapo-Kanindé,Unclassifiable
Catuquinaru-Bach,Unclassifiable
Tabancal,Unclassifiable
Quignam,Unclassifiable
Patagon,Unclassifiable
Panche,Unclassifiable
Unainuman,Unclassifiable
Cabixi-Natterer,Unclassifiable
Aruba,Unclassifiable
Alacalufe-Austral,Kawesqar
Qawasqar,Kawesqar
Alacalufe-Central,Kawesqar
Taparita,Otomaco-Taparita
Otomaco,Otomaco-Taparita
Makuráp,Tupian
Tuparí,Tupian
Kepkiriwát,Tupian
Wayoró,Tupian
Akuntsu,Tupian
Mekens,Tupian
Kuruáya,Tupian
Mundurukú,Tupian
Puruborá,Tupian
Urumi,Tupian
Karo (Brazil),Tupian
Arikem,Tupian
Karitiâna,Tupian
Suruí,Tupian
Salamãi,Tupian
Cinta Larga,Tupian
Gavião Do Jiparaná,Tupian
Aruá (Rondonia State),Tupian
Sateré-Mawé,Tupian
Awetí,Tupian
Kamayurá,Tupian
Tapirapé,Tupian
Parakanã,Tupian
Tocantins Asurini,Tupian
Suruí Do Pará,Tupian
Tenetehara,Tupian
Turiwára,Tupian
Xetá,Tupian
Aché,Tupian
Western Bolivian Guaraní,Tupian
Eastern Bolivian Guaraní,Tupian
Tapieté,Tupian
Mbyá Guaraní,Tupian
Pai Tavytera,Tupian
Paraguayan Guaraní,Tupian
Kaiwá,Tupian
Chiripá,Tupian
Guarayu,Tupian
Warázu,Tupian
Jorá,Tupian
Yuqui,Tupian
Sirionó,Tupian
Nhengatu,Tupian
Tupinambá,Tupian
Lingua Geral Paulista,Tupian
Cocama-Cocamilla,Tupian
Omagua,Tupian
Xingú Asuriní,Tupian
Anambé,Tupian
Araweté,Tupian
Amanayé,Tupian
Apiaká,Tupian
Kayabí,Tupian
Karipúna,Tupian
Amundava,Tupian
Uru-Eu-Wau-Wau,Tupian
Paranawát,Tupian
Júma,Tupian
Wiraféd,Tupian
Tenharim-Parintintin-Diahoi,Tupian
Wayampi,Tupian
Zo'é,Tupian
Teko,Tupian
Urubú-Kaapor,Tupian
Avá-Canoeiro,Tupian
Tacunyape,Tupian
Aurê y Aurá,Tupian
Guajá,Tupian
Xipaya,Tupian
Jurúna,Tupian
Maritsauá,Tupian
Sanumá,Yanomamic
Ninam,Yanomamic
Yaroame,Yanomamic
Yanomámi,Yanomamic
Yanomamö,Yanomamic
Nadëb,Naduhup
Dâw,Naduhup
Yuhup,Naduhup
Hup,Naduhup
Paumari,Arawan
Suruahá,Arawan
Aruá (Amazonas State),Arawan
Madi,Arawan
Culina,Arawan
Deni,Arawan
Sabanê,Nambiquaran
Southern Nambikuára,Nambiquaran
Mamaindé,Nambiquaran
Tawandê,Nambiquaran
Lakondê,Nambiquaran
Latundê,Nambiquaran
Katawixi,Katukinan
Katukína-Kanamarí,Katukinan
Záparo,Zaparoan
Aushiri,Zaparoan
Arabela,Zaparoan
Andoa,Zaparoan
Cahuarano,Zaparoan
Iquito,Zaparoan
Palenquero,Indo-European
Peruvian Amazonian Spanish,Indo-European
Papiamento,Indo-European
Cafundo,Indo-European
Karipúna Creole French,Indo-European
Guianese Creole French,Indo-European
Colonia Tovar German,Indo-European
Hunsrik,Indo-European
Saramaccan,Indo-European
Sranan Tongo,Indo-European
Aukan,Indo-European
Kwinti,Indo-European
San Andres Creole English,Indo-European
Guyanese Creole English,Indo-European
Skepi Creole Dutch,Indo-European
Berbice Creole Dutch,Indo-European
Caribbean Hindustani,Indo-European
Wakoná,Unattested
Truká,Unattested
Wasu,Unattested
Pankararé,Unattested
Flecheiros,Unattested
Apoto,Unattested
Tremembé,Unattested
Miarrã,Unattested
Runa,Unattested
Arma,Unattested
Agavotaguerra,Unattested
Aguano,Unattested
Himarimã,Unattested
Alapmunte,Unattested
Yelelihre,Unattested
Tawendê,Unattested
Yalakalore,Unattested
Xipináwa,Unattested
Shinabo,Unattested
Kontanáwa,Unattested
Mayo (Brazil),Unattested
Papavô,Unattested
Pisabo,Unattested
Barbacoas,Unattested
Tukumanféd,Unattested
Morerebi,Unattested
Karahawyana,Unattested
Hoti,Jodi-Saliban
Sáliba,Jodi-Saliban
Maco,Jodi-Saliban
Piaroa,Jodi-Saliban
Mapudungun,Araucanian
Huilliche,Araucanian
Apalaí,Cariban
Opón-Carare,Cariban
Japrería,Cariban
Yukpa,Cariban
Pimenteira,Cariban
Kuikúro-Kalapálo,Cariban
Matipuhy,Cariban
Palmela,Cariban
Galibi Carib,Cariban
Carijona,Cariban
Trió,Cariban
Pauxi,Cariban
Akurio,Cariban
Maquiritari,Cariban
Wayumara,Cariban
Wayana,Cariban
Tiverighotto,Cariban
Yebarana,Cariban
Kaxuiâna,Cariban
Waiwai,Cariban
Hixkaryána,Cariban
Panare,Cariban
Macushi,Cariban
Pemon,Cariban
Akawaio,Cariban
Patamona,Cariban
Tamanaku,Cariban
Pauxiana,Cariban
Paravilhana,Cariban
Sapara,Cariban
Mapoyo,Cariban
Yabarana,Cariban
Pémono,Cariban
Chaima,Cariban
Cumanagoto,Cariban
Waimiri-Atroari,Cariban
Bonari,Cariban
Bakairí,Cariban
Apiaka-Tocantins,Cariban
Yarumá,Cariban
Pará Arára,Cariban
Ikpeng,Cariban
Masacara,Kamakanan
Cotoxo,Kamakanan
Kamakan,Kamakanan
Menien,Kamakanan
Napeca,Chapacuran
Rocorona,Chapacuran
Urupa,Chapacuran
Yaru,Chapacuran
Wanyam,Chapacuran
Wari',Chapacuran
Oro Win,Chapacuran
Torá,Chapacuran
Itene,Chapacuran
Kuyubi,Chapacuran
Chapakura,Chapacuran
Kitemoka,Chapacuran
Millcayac,Huarpean
Allentiac,Huarpean
Canari,Barbacoan
Awa-Cuaiquer,Barbacoan
Totoro,Barbacoan
Guambiano,Barbacoan
Tsafiki,Barbacoan
Cha'palaa,Barbacoan
Hibito,Hibito-Cholon
Cholón,Hibito-Cholon
Maca,Matacoan
Nivaclé,Matacoan
Wichí Lhamtés Nocten,Matacoan
Wichí Lhamtés Vejoz,Matacoan
Wichí Lhamtés Güisnay,Matacoan
Iyojwa'ja Chorote,Matacoan
Iyo'wujwa Chorote,Matacoan
Kakua,Kakua-Nukak
Nukak Makú,Kakua-Nukak
Kueretu,Tucanoan
Maijiki,Tucanoan
Koreguaje,Tucanoan
Tama (Colombia),Tucanoan
Secoya,Tucanoan
Macaguaje,Tucanoan
Siona-Tetete,Tucanoan
Arapaso,Tucanoan
Miriti,Tucanoan
Carapana,Tucanoan
Pisamira,Tucanoan
Yurutí,Tucanoan
Tuyuca,Tucanoan
Wa'ikhana,Tucanoan
Kotiria,Tucanoan
Tucano,Tucanoan
Waimaha,Tucanoan
Tatuyo,Tucanoan
Cubeo,Tucanoan
Yupua,Tucanoan
Desano,Tucanoan
Siriano,Tucanoan
Macuna,Tucanoan
Barasana-Eduria,Tucanoan
Tanimuca-Retuarã,Tucanoan
Yahuna,Tucanoan
Northern Lengua,Lengua-Mascoy
Southern Lengua,Lengua-Mascoy
Toba-Maskoy,Lengua-Mascoy
Guana (Paraguay),Lengua-Mascoy
Sanapaná,Lengua-Mascoy
Angaité,Lengua-Mascoy
