iso-639-3	name	value	description	latitude	longitude	family
agr	Aguaruna	?	Not known	-5.30044	-77.92179	Chicham
apu	Apurinã	?	Not known	-8.21692	-66.77141	Arawakan
arl	Arabela	?	Not known	-1.96126	-75.06117	Zaparoan
arh	Arhuaco	?	Not known	10.70184	-73.63629	Chibchan
kwi	Awa-Cuaiquer	A	adjectives	1.216525	-78.340135	Barbacoan
quy	Ayacucho Quechua	A	adjectives	-13.84714	-74.32246	Quechuan
ayo	Ayoreo	A	adjectives	-19.220055	-60.217495	Zamucoan
brg	Baure	A	adjectives	-13.12775	-64.18381	Arawakan
boa	Bora	C	nouns	-2.91467	-68.90929	Boran
bor	Bororo	?	Not known	-16.60295	-55.20043	Bororoan
qvc	Cajamarca Quechua	A	adjectives	-7.09314	-78.32141	Quechuan
caw	Callawalla	A	adjectives	-15.88451	-68.10176	Mixed Language
ram	Canela	?	Not known	-6.10712	-45.1299	Nuclear-Macro-Je
cav	Cavineña	?	Not known	-13.35441	-66.62773	Pano-Tacanan
ayr	Central Aymara	C	nouns	-17.0	-68.5	Aymaran
ceg	Chamacoco	C	nouns	-20.58988	-58.20047	Zamucoan
cap	Chipaya	A	adjectives	-18.73951	-67.89633	Uru-Chipaya
cht	Cholón	C	nouns	-9.23129	-75.96211	Hibito-Cholon
cod	Cocama-Cocamilla	C	nouns	-4.5	-74.0	Tupian
con	Cofán	A	adjectives	0.276675	-77.064305	Cofan
cub	Cubeo	?	Not known	1.32382	-70.193935	Tucanoan
quz	Cusco Quechua	A	adjectives	-14.08527	-71.76625	Quechuan
des	Desano	?	Not known	0.58157	-69.495545	Tucanoan
kwa	Dâw	?	Not known	-0.1177	-67.29341	Nadahup
eme	Emerillon	?	Not known	3.23694	-52.36986	Tupian
ese	Ese Ejja	A	adjectives	-11.72683	-67.51496	Pano-Tacanan
gvo	Gavião Do Jiparaná	?	Not known	-10.7235	-61.67521	Tupian
hix	Hixkaryána	E	adverbs	-0.16265	-58.80153	Cariban
qub	Huallaga Huánuco Quechua	A	adjectives	-9.57135	-75.59401	Quechuan
qux	Huangascar-Topara-Yauyos Quechua	A	adjectives	-13.11443	-75.76589	Quechuan
qwh	Huaylas Ancash Quechua	A	adjectives	-9.38709	-77.77681	Quechuan
jup	Hupdë	C	nouns	0.58622	-69.835915	Nadahup
qvi	Imbabura Highland Quichua	A	adjectives	0.31776	-78.37286	Quechuan
inb	Inga	A	adjectives	1.00313	-76.86062	Quechuan
iqu	Iquito	A	adjectives	-3.31233	-73.97046	Zaparoan
ito	Itonama	?	Not known	-12.80431	-64.35748	Itonama
jaa	Jamamadí	B	verbs	-7.62223	-66.56619	Arawan
jqr	Jaqaru	A	adjectives	-12.88233	-75.89576	Aymaran
